,ANTONIO_NARINO,BARRIOS_UNIDOS,BOSA,CANDELARIA,CARCELES,CHAPINERO,CIUDAD_BOLIVAR,CORFERIAS,ENGATIVA,FONTIBON,KENNEDY,MARTIRES,PUENTE_ARANDA,RAFAEL_URIBE_URIBE,SAN_CRISTOBAL,SANTA_FE,SUBA,SUMAPAZ,TEUSAQUILLO,TUNJUELITO,USAQUEN,USME,Total Bogota
Gustavo Petro,37618.0,41796.0,166639.0,15725.0,508.0,33980.0,160656.0,47119.0,199077.0,83978.0,247271.0,24316.0,71630.0,105463.0,115611.0,32651.0,213147.0,1095.0,49548.0,57941.0,88289.0,94992.0,1889050.0
Ivan Duque,28649.0,48147.0,76131.0,7777.0,166.0,54743.0,67526.0,34105.0,164637.0,72808.0,164097.0,23195.0,63818.0,53213.0,46274.0,15838.0,240497.0,260.0,49745.0,33195.0,167746.0,36525.0,1449092.0
Potencial Votantes,109161.0,149538.0,402114.0,42861.0,1212.0,162008.0,395416.0,429947.0,558593.0,245095.0,648269.0,86921.0,215864.0,429947.0,269280.0,89548.0,691043.0,2669.0,162384.0,152309.0,407992.0,222526.0,5874697.0
Blanco,3564.0,6958.0,9262.0,1079.0,29.0,8188.0,7629.0,4403.0,25946.0,11416.0,22988.0,2424.0,8646.0,6729.0,6137.0,2207.0,34102.0,17.0,8502.0,4092.0,21949.0,3982.0,200249.0
Nulos,678.0,690.0,3783.0,265.0,16.0,351.0,3776.0,818.0,4140.0,2014.0,5234.0,441.0,1497.0,2345.0,2671.0,629.0,3902.0,9.0,459.0,1205.0,1254.0,2145.0,38322.0
No Marcados,16.0,29.0,105.0,18.0,1.0,24.0,157.0,16.0,128.0,59.0,185.0,28.0,54.0,109.0,111.0,33.0,142.0,1.0,16.0,32.0,65.0,88.0,1417.0
Total votantes,70525.0,97620.0,255920.0,24864.0,720.0,97286.0,239744.0,86461.0,393928.0,170275.0,439775.0,50404.0,145645.0,167859.0,170804.0,51358.0,491790.0,1382.0,108270.0,96465.0,279303.0,137732.0,3578130.0
Porcentaje votantes(%),64.6,65.3,63.6,58.0,59.4,60.1,60.6,20.1,70.5,69.5,67.8,58.0,67.5,39.0,63.4,57.4,71.2,51.8,66.7,63.3,68.5,61.9,60.9
