Localidad:SAN_CRISTOBAL,Votacion:
Gustavo Petro,115611
Ivan Duque,46274
Potencial Votantes,269280
Blanco,6137
Nulos,2671
No Marcados,111
Referencia:,http://elecciones1.registraduria.gov.co/esc_pre_2v_2018//docs_divulgacion/16/001/PRE/E24/E24_PRE_2_16_001_XXX_XX_XX_XXX_Z_XXX_0101.pdf
