Localidad:TUNJUELITO,Votacion:
Gustavo Petro,57941
Ivan Duque,33195
Potencial Votantes,152309
Blanco,4092
Nulos,1205
No Marcados,32
Referencia:,http://elecciones1.registraduria.gov.co/esc_pre_2v_2018//docs_divulgacion/16/001/PRE/E24/E24_PRE_2_16_001_XXX_XX_XX_XXX_Z_XXX_0101.pdf
