Localidad:KENNEDY,Votacion:
Gustavo Petro,247271
Ivan Duque,164097
Potencial Votantes,648269
Blanco,22988
Nulos,5234
No Marcados,185
Referencia:,http://elecciones1.registraduria.gov.co/esc_pre_2v_2018//docs_divulgacion/16/001/PRE/E24/E24_PRE_2_16_001_XXX_XX_XX_XXX_Z_XXX_0101.pdf
