Localidad:CARCELES,Votacion:
Gustavo Petro,508
Ivan Duque,166
Potencial Votantes,1212
Blanco,29
Nulos,16
No Marcados,1
Referencia:,http://elecciones1.registraduria.gov.co/esc_pre_2v_2018//docs_divulgacion/16/001/PRE/E24/E24_PRE_2_16_001_XXX_XX_XX_XXX_Z_XXX_0101.pdf
