Localidad:ENGATIVA,Votacion:
Gustavo Petro,199077
Ivan Duque,164637
Potencial Votantes,558593
Blanco,25946
Nulos,4140
No Marcados,128
Referencia:,http://elecciones1.registraduria.gov.co/esc_pre_2v_2018//docs_divulgacion/16/001/PRE/E24/E24_PRE_2_16_001_XXX_XX_XX_XXX_Z_XXX_0101.pdf
