Localidad:BOSA,Votacion:
Gustavo Petro,166639
Ivan Duque,76131
Potencial Votantes,402114
Blanco,9262
Nulos,3783
No Marcados,105
Referencia:,http://elecciones1.registraduria.gov.co/esc_pre_2v_2018//docs_divulgacion/16/001/PRE/E24/E24_PRE_2_16_001_XXX_XX_XX_XXX_Z_XXX_0101.pdf
