Localidad:RAFAEL_URIBE_URIBE,Votacion:
Gustavo Petro,105463
Ivan Duque,53213
Potencial Votantes,429947
Blanco,6729
Nulos,2345
No Marcados,109
Referencia:,http://elecciones1.registraduria.gov.co/esc_pre_2v_2018//docs_divulgacion/16/001/PRE/E24/E24_PRE_2_16_001_XXX_XX_XX_XXX_Z_XXX_0101.pdf
