Localidad:ANTONIO_NARINO,Votacion:
Gustavo Petro,37618
Ivan Duque,28649
Potencial Votantes,109161
Blanco,3564
Nulos,678
No Marcados,16
Referencia:,http://elecciones1.registraduria.gov.co/esc_pre_2v_2018//docs_divulgacion/16/001/PRE/E24/E24_PRE_2_16_001_XXX_XX_XX_XXX_Z_XXX_0101.pdf
