Localidad:SUBA,Votacion:
Gustavo Petro,213147
Ivan Duque,240497
Potencial Votantes,691043
Blanco,34102
Nulos,3902
No Marcados,142
Referencia:,http://elecciones1.registraduria.gov.co/esc_pre_2v_2018//docs_divulgacion/16/001/PRE/E24/E24_PRE_2_16_001_XXX_XX_XX_XXX_Z_XXX_0101.pdf
