Localidad:FONTIBON,Votacion:
Gustavo Petro,83978
Ivan Duque,72808
Potencial Votantes,245095
Blanco,11416
Nulos,2014
No Marcados,59
Referencia:,http://elecciones1.registraduria.gov.co/esc_pre_2v_2018//docs_divulgacion/16/001/PRE/E24/E24_PRE_2_16_001_XXX_XX_XX_XXX_Z_XXX_0101.pdf
