Localidad:TEUSAQUILLO,Votacion:
Gustavo Petro,49548
Ivan Duque,49745
Potencial Votantes,162384
Blanco,8502
Nulos,459
No Marcados,16
Referencia:,http://elecciones1.registraduria.gov.co/esc_pre_2v_2018//docs_divulgacion/16/001/PRE/E24/E24_PRE_2_16_001_XXX_XX_XX_XXX_Z_XXX_0101.pdf
