Localidad:CIUDAD_BOLIVAR,Votacion:
Gustavo Petro,160656
Ivan Duque,67526
Potencial Votantes,395416
Blanco,7629
Nulos,3776
No Marcados,157
Referencia:,http://elecciones1.registraduria.gov.co/esc_pre_2v_2018//docs_divulgacion/16/001/PRE/E24/E24_PRE_2_16_001_XXX_XX_XX_XXX_Z_XXX_0101.pdf
