Localidad:SUMAPAZ,Votacion:
Gustavo Petro,1095
Ivan Duque,260
Potencial Votantes,2669
Blanco,17
Nulos,9
No Marcados,1
Referencia:,http://elecciones1.registraduria.gov.co/esc_pre_2v_2018//docs_divulgacion/16/001/PRE/E24/E24_PRE_2_16_001_XXX_XX_XX_XXX_Z_XXX_0101.pdf
