Localidad:MARTIRES,Votacion:
Gustavo Petro,24316
Ivan Duque,23195
Potencial Votantes,86921
Blanco,2424
Nulos,441
No Marcados,28
Referencia:,http://elecciones1.registraduria.gov.co/esc_pre_2v_2018//docs_divulgacion/16/001/PRE/E24/E24_PRE_2_16_001_XXX_XX_XX_XXX_Z_XXX_0101.pdf
