Localidad:SANTA_FE,Votacion:
Gustavo Petro,32651
Ivan Duque,15838
Potencial Votantes,89548
Blanco,2207
Nulos,629
No Marcados,33
Referencia:,http://elecciones1.registraduria.gov.co/esc_pre_2v_2018//docs_divulgacion/16/001/PRE/E24/E24_PRE_2_16_001_XXX_XX_XX_XXX_Z_XXX_0101.pdf
